City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
5282297,bethel,US,1644099769,41.3712,-73.414,24.89,71,0,1.99
1516048,hovd,MN,1644099447,48.0056,91.6419,-13.43,78,21,4.09
3423146,ilulissat,GL,1644099769,69.2167,-51.1,-0.9,75,100,8.41
2021031,kyren,RU,1644099770,51.6828,102.1408,11.5,83,90,1.7
2036933,helong,CN,1644099770,42.5397,128.9972,2.07,83,29,7.31
2013279,vostok,RU,1644099770,46.4856,135.8833,-12.46,99,100,3.0
3652764,puerto ayora,EC,1644099771,-0.7393,-90.3518,78.55,85,70,5.99
3939168,huarmey,PE,1644099771,-10.0681,-78.1522,75.25,73,12,11.88
3383434,nieuw amsterdam,SR,1644099771,5.8833,-55.0833,78.82,94,40,0.0
3347019,namibe,AO,1644099772,-15.1961,12.1522,73.35,67,100,10.49
2128975,nemuro,JP,1644099772,43.3236,145.575,22.69,73,90,17.72
4034307,mahina,PF,1644099772,-17.5065,-149.489,85.77,58,40,11.5
2208248,kaitangata,NZ,1644099772,-46.2817,169.8464,54.93,60,95,5.86
3386213,touros,BR,1644099773,-5.1989,-35.4608,81.5,69,10,13.31
6144312,sept-iles,CA,1644099555,50.2001,-66.3821,4.05,57,20,1.01
2180815,tuatapere,NZ,1644099773,-46.1333,167.6833,55.81,78,99,3.4
2012530,zhigansk,RU,1644099774,66.7697,123.3711,-26.63,98,100,5.95
304183,bayir,TR,1644099774,37.2687,28.2167,30.72,69,27,1.57
4031574,provideniya,RU,1644099514,64.3833,-173.3,-4.45,85,2,10.25
2313762,libenge,CD,1644099775,3.65,18.6333,75.15,24,100,1.14
3443061,chuy,UY,1644099109,-33.6971,-53.4616,70.03,84,65,9.33
5848280,kapaa,US,1644099775,22.0752,-159.319,79.48,67,0,1.99
2013258,vrangel,RU,1644099775,42.7297,133.0839,9.48,65,6,16.91
6167817,torbay,CA,1644099776,47.6666,-52.7314,50.58,94,100,29.93
215771,isiro,CD,1644099776,2.7739,27.616,69.3,31,100,2.77
292968,abu dhabi,AE,1644099678,24.4667,54.3667,69.96,77,40,16.11
2090021,namatanai,PG,1644099776,-3.6667,152.4333,83.26,70,66,10.2
5855927,hilo,US,1644099551,19.7297,-155.09,75.79,79,100,5.75
3894426,coihaique,CL,1644099777,-45.5752,-72.0662,68.61,49,75,9.22
2155415,new norfolk,AU,1644099777,-42.7826,147.0587,63.66,60,96,2.42
2229761,kribi,CM,1644099777,2.95,9.9167,79.03,83,17,6.46
4566178,maricao,PR,1644099778,18.1808,-66.9799,71.53,90,93,5.97
1623446,tomohon,ID,1644099778,1.3346,124.8392,68.94,95,100,3.62
934322,mahebourg,MU,1644099778,-20.4081,57.7,79.25,89,40,11.5
3358666,aranos,NA,1644099779,-24.1333,19.1167,80.44,34,61,12.03
1256029,siruguppa,IN,1644099779,15.6333,76.9,67.78,46,60,5.95
